username,profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
silvina85c,True,False,1128,575,0.5093002657218778,322,False,False,False,False,3,43.76,98.0,11.0,18.262621206533673,333.5233333333333,0.9944628023734978,1.6,6.0,0.0,1.5275252316519468,2.333333333333333,1.131087755950796,1491866.166666667,7517421.0,5.0,1832699.9395404647,3358789068391.623,1.797422343631146,True
krusty_official_,True,True,430,353,0.8190255220417634,3,False,False,True,False,3,31.66666666666667,35.0,29.0,3.055050463303893,9.333333333333334,0.3818017741606047,5.333333333333333,16.0,0.0,9.237604307034012,85.33333333333334,0.7071067811865478,5472764.0,6023604.0,4921924.0,779005.3986975956,606849411200.0,0.0,True
mattoa,True,True,418,534,1.2744630071599046,139,False,False,False,False,3,100.84,166.0,50.0,26.982525209228783,728.0566666666666,0.16880046763448325,10.12,23.0,0.0,7.131619731870173,50.86,0.3216605140237889,3611336.541666666,10774210.0,164203.0,3163705.4708404825,10009032306225.998,1.0650187899874541,True
mickemellow,True,True,1425,3118,2.1865357643758765,206,False,False,True,False,0,729.36,1414.0,209.0,426.42612490324746,181839.24,0.4084533328042497,13.92,42.0,1.0,11.146449359923244,124.24333333333333,0.6822471133808662,1338888.083333333,4057835.0,233556.0,1025556.40686914,1051765943670.3408,0.9391113615289906,True
trendmood1,True,True,1105,1510557,1365.7839059674502,20842,False,True,True,False,9,14806.48,35383.0,5051.0,8280.984442886807,68574703.34333333,1.2450141547832267,198.36,747.0,17.0,183.06735554616685,33513.65666666666,1.6856845050097986,20876.166666666668,67514.0,170.0,17101.446825816576,292459483.5362319,0.9820854398723732,True
pablovezagni,True,True,14,89059,5937.266666666666,77,False,False,True,False,0,9565.84,18028.0,5529.0,3173.1818636819416,10069083.14,1.2652358628063742,39.04,132.0,15.0,26.0087805686208,676.4566666666667,2.202625312311176,1087525.75,3943014.0,54556.0,1085173.852854413,1177602290918.8914,1.176647208590657,True
nina_marie_petitpas,True,True,484,538,1.1092783505154642,217,False,False,False,False,38,46.6,130.0,11.0,28.91366458960192,836.0000000000001,1.5246446160771077,3.04,13.0,0.0,3.3970575502926064,11.54,1.2732829330057067,447404.58333333326,2081263.0,15088.0,550156.9107776686,302672626476.42755,1.6202884710955798,True
pizfn_,True,True,212,13172,61.84037558685446,22,False,False,False,False,1,743.8695652173913,2096.0,126.0,608.6958715414625,370510.6640316205,0.6849333473068182,46.39130434782609,596.0,0.0,121.79481222361228,14833.976284584978,4.245477429510957,10343890.681818182,107595314.0,81590.0,23052496.190557398,531417580615663.4,3.658709310781177,True
avvincentement,True,True,396,425,1.070528967254408,230,False,False,False,False,1,76.32,159.0,44.0,23.916033673388792,571.9766666666667,1.666261038543742,3.28,47.0,0.0,9.235438989746687,85.29333333333334,4.4922190616414674,2006796.625,13401498.0,686.0,3470202.7767124204,12042307311502.592,2.039254104334664,True
alicegnasso,True,True,281,2734,9.695035460992909,162,False,False,False,False,11,397.8,1030.0,72.0,288.16025633895686,83036.33333333334,0.7376303955744734,5.12,15.0,0.0,4.833218389437829,23.36,0.6369714300164546,757543.4166666665,2572734.0,153846.0,622924.5507309028,388034995903.2971,1.4555806470268875,True
irregularchoice,True,True,2629,254269,96.68022813688214,8308,False,False,True,False,14,1244.72,5255.0,163.0,991.0602706192999,982200.46,2.7396796519604223,10.4,31.0,0.0,8.371578903249574,70.08333333333334,0.8971839494779493,33774.666666666664,86706.0,6798.0,23806.798670286105,566763662.9275362,0.6767041512731544,True
redbull,True,True,1591,12650515,7946.303391959798,7725,False,True,True,False,16,136368.08,403456.0,36536.0,86877.97438021906,7547782432.410002,1.7727869774480012,725.76,2165.0,102.0,532.3212751713011,283365.94,0.9118664364779708,54029.375,129548.0,23389.0,24639.127172239325,607086587.8097826,1.628886851704758,True
michele_nonstop,True,True,386,325,0.8397932816537468,12,False,False,True,False,1,37.833333333333336,64.0,15.0,14.726805080491419,216.87878787878788,0.2471314145277432,0.4166666666666667,2.0,0.0,0.7929614610987591,0.6287878787878788,1.4256129189022435,44037.90909090909,143716.0,564.0,48792.317613441046,2380690258.090909,0.8962801717545783,True
