username,profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,recently_removed,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
silvina85c,True,0,1128,575,0.5097517730496454,322,False,False,False,False,3,False,43.76,98.0,11.0,18.26262120653367,333.5233333333333,0.9944628023734978,1.6,6.0,0.0,1.5275252316519468,2.3333333333333335,1.131087755950796,1491866.1666666667,7517421.0,5.0,1832699.9395404647,3358789068391.623,1.797422343631146,True
mattoa,True,72,418,534,1.277511961722488,139,False,False,False,False,3,False,100.84,166.0,50.0,26.98252520922878,728.0566666666666,0.16880046763448323,10.12,23.0,0.0,7.131619731870173,50.86,0.32166051402378887,3611336.5416666665,10774210.0,164203.0,3163705.4708404825,10009032306225.998,1.065018789987454,True
mickemellow,True,13,1425,3118,2.1880701754385963,206,False,False,True,False,0,False,729.36,1414.0,209.0,426.42612490324746,181839.24,0.4084533328042497,13.92,42.0,1.0,11.146449359923245,124.24333333333333,0.6822471133808662,1338888.0833333333,4057835.0,233556.0,1025556.4068691399,1051765943670.3407,0.9391113615289906,True
_adriana.l,True,1,953,288,0.30220356768100737,458,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
epicoco_17,True,54,98,7273,74.21428571428571,85,False,False,True,False,4,False,516.32,843.0,356.0,123.58287367862371,15272.726666666666,0.7426937909573323,19.12,80.0,0.0,17.94510146715996,322.02666666666664,1.9257516011372096,406813.375,1468323.0,85677.0,331600.61262423254,109958966292.76631,1.8326623731254246,True
benedettadegiorgi_,True,65,579,1063,1.8359240069084628,167,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
trendmood1,True,147,1105,1510557,1367.0199095022624,20842,False,True,True,False,9,False,14806.48,35383.0,5051.0,8280.984442886807,68574703.34333333,1.2450141547832267,198.36,747.0,17.0,183.06735554616685,33513.65666666666,1.6856845050097986,20876.166666666668,67514.0,170.0,17101.446825816576,292459483.5362319,0.9820854398723731,True
pablovezagni,True,102,14,89059,6361.357142857143,77,False,False,True,False,0,False,9565.84,18028.0,5529.0,3173.1818636819416,10069083.14,1.2652358628063742,39.04,132.0,15.0,26.008780568620796,676.4566666666667,2.202625312311176,1087525.75,3943014.0,54556.0,1085173.852854413,1177602290918.8914,1.176647208590657,True
nina_marie_petitpas,True,113,484,538,1.1115702479338843,217,False,False,False,False,38,False,46.6,130.0,11.0,28.91366458960192,836.0000000000001,1.5246446160771077,3.04,13.0,0.0,3.397057550292606,11.540000000000001,1.2732829330057067,447404.5833333333,2081263.0,15088.0,550156.9107776686,302672626476.42755,1.6202884710955798,True
pizfn_,True,28,212,13172,62.132075471698116,22,False,False,False,False,1,False,743.8695652173913,2096.0,126.0,608.6958715414625,370510.66403162054,0.6849333473068182,46.391304347826086,596.0,0.0,121.7948122236123,14833.976284584978,4.245477429510957,10343890.681818182,107595314.0,81590.0,23052496.1905574,531417580615663.44,3.658709310781177,True
avvincentement,True,69,396,425,1.0732323232323233,230,False,False,False,False,1,False,76.32,159.0,44.0,23.916033673388792,571.9766666666667,1.666261038543742,3.28,47.0,0.0,9.235438989746688,85.29333333333334,4.492219061641468,2006796.625,13401498.0,686.0,3470202.7767124204,12042307311502.592,2.0392541043346637,True
alicegnasso,True,24,281,2734,9.729537366548042,162,False,False,False,False,11,False,397.8,1030.0,72.0,288.1602563389569,83036.33333333334,0.7376303955744734,5.12,15.0,0.0,4.833218389437829,23.36,0.6369714300164546,757543.4166666666,2572734.0,153846.0,622924.5507309028,388034995903.2971,1.4555806470268875,True
irregularchoice,True,69,2629,254269,96.71700266260936,8308,False,False,True,False,14,False,1244.72,5255.0,163.0,991.0602706192999,982200.46,2.7396796519604223,10.4,31.0,0.0,8.371578903249574,70.08333333333334,0.8971839494779493,33774.666666666664,86706.0,6798.0,23806.798670286105,566763662.9275362,0.6767041512731544,True
redbull,True,43,1591,12650515,7951.29792583281,7725,False,True,True,False,16,False,136368.08,403456.0,36536.0,86877.97438021906,7547782432.410001,1.7727869774480012,725.76,2165.0,102.0,532.3212751713011,283365.94,0.9118664364779708,54029.375,129548.0,23389.0,24639.127172239332,607086587.8097826,1.628886851704758,True
erika_ris,True,0,731,616,0.8426812585499316,206,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
ambra.paparello,True,0,304,316,1.0394736842105263,868,False,False,False,False,0,False,5.8,14.0,0.0,3.0413812651491097,9.25,0.7654806900008602,0.12,2.0,0.0,0.43969686527576396,0.19333333333333333,3.6450714226650605,364299.5416666667,1837939.0,100.0,518235.75821803755,268568301095.82425,1.6350511580372338,True
michele_nonstop,True,29,386,325,0.8419689119170984,12,False,False,True,False,1,False,37.833333333333336,64.0,15.0,14.726805080491419,216.87878787878788,0.24713141452774318,0.4166666666666667,2.0,0.0,0.7929614610987591,0.6287878787878788,1.4256129189022437,44037.90909090909,143716.0,564.0,48792.317613441046,2380690258.090909,0.8962801717545783,True
alesvecchi,True,0,620,384,0.6193548387096774,302,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
treasuresofnyc,True,122,265,137124,517.4490566037736,9041,False,False,True,False,2,False,1384.0,4049.0,370.0,1064.4170157101648,1132983.5833333333,1.1859771636274576,3.44,15.0,0.0,4.203966381089808,17.673333333333336,1.515046517130993,11557.458333333334,48386.0,5634.0,12000.586315311093,144014071.91123188,2.310047600190961,True
claudia_attanasi,True,150,779,2386,3.0629011553273426,683,False,False,False,False,13,False,152.68,274.0,53.0,61.53164497503162,3786.1433333333334,0.054746160876995964,13.88,57.0,0.0,13.004230081015946,169.10999999999999,1.599171423905877,768081.9583333334,3083599.0,63615.0,678195.6929486073,459949397934.0416,1.6598768620905124,True
giuseppe.scialpi,True,83,4577,1697,0.3707668778675989,629,False,False,False,False,9,False,41.8,67.0,26.0,11.718930554164631,137.33333333333334,0.8668681983185019,1.2,5.0,0.0,1.4719601443879744,2.1666666666666665,1.1680706055127423,309375.5416666667,849006.0,33635.0,234290.77398933133,54892166776.51993,0.9682940977787894,True
alicetaglioli,True,0,335,544,1.6238805970149253,182,False,False,False,False,1,False,67.12,132.0,27.0,21.463767920226246,460.6933333333333,0.9415118293945389,1.32,5.0,0.0,1.7009801096230763,2.893333333333333,1.2487588549319593,1501074.0833333333,13815346.0,63.0,3274101.5449100574,10719740926382.426,2.832821726761418,True
bernardovillasboas,True,57,185,86137,465.6054054054054,464,False,False,False,False,5,False,16521.12,29050.0,4912.0,7283.039414283023,53042663.11,0.1866643271663105,236.44,367.0,84.0,86.47980496431909,7478.756666666667,-0.25725514514545345,446400.7083333333,1215930.0,78184.0,280664.0759778074,78772323544.47646,1.1348003270071494,True
ocasio2018,True,140,1133,4169118,3679.7157987643423,413,False,True,True,False,8,False,324877.44,725702.0,63575.0,199579.67800419126,39832047872.25667,0.3081062235840856,6911.24,18892.0,1726.0,5353.705253373592,28662159.94,1.02443463489846,719902.9583333334,2658995.0,1070.0,688749.0453793103,474375247510.9112,1.1979474105674512,True
chiarabelli_,True,20,370,536,1.4486486486486487,28,False,False,False,False,2,False,76.88,160.0,21.0,45.98760702624132,2114.86,0.5027447098613457,3.52,16.0,0.0,4.331281565541543,18.76,1.537178005447178,5918000.708333333,18149984.0,353652.0,4913989.959061307,24147297317755.348,1.0441325127005834,True
cecyjaime,True,3,1035,659,0.6367149758454106,187,False,False,False,False,1,False,104.12,187.0,53.0,30.494972263199934,929.9433333333333,0.8405275828105568,9.52,38.0,0.0,9.613878856458857,92.42666666666666,1.3564490582890913,2192021.625,8496096.0,131566.0,2339440.5760597666,5472982208914.854,1.3656535331577757,True
bonogiada,True,0,588,201,0.34183673469387754,147,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
lorenzozanola_,True,33,282,20002,70.9290780141844,156,False,False,False,False,0,False,2034.56,6153.0,974.0,1200.757645544401,1441818.9233333333,1.8974627660560905,56.12,173.0,9.0,39.28243882449255,1543.11,1.3024240668435032,622372.8333333334,1657809.0,93142.0,409561.04412584123,167740248865.44928,1.2381918820044224,True
mariaantogis,True,1,491,464,0.945010183299389,29,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
_jesuismeryame,True,58,892,986,1.1053811659192825,196,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
mmmashi,True,54,990,1958,1.9777777777777779,659,False,False,True,False,2,False,107.84,203.0,44.0,40.58497258838547,1647.1399999999999,0.647495157198926,3.88,10.0,1.0,2.5219040425836985,6.36,1.044615908726533,544266.4583333334,2761149.0,23238.0,564882.4366687884,319092167256.86774,2.6748796462933484,True
alicemarianelli,True,0,1216,510,0.4194078947368421,19,False,False,False,False,0,False,41.26315789473684,68.0,22.0,13.194452139117486,174.093567251462,0.7283660068364441,1.5263157894736843,5.0,0.0,1.6113631583445662,2.5964912280701755,0.6471214126962248,2965349.6666666665,7450912.0,76257.0,2505852.4001756134,6279296251465.883,0.4902121469345833,True
marcellochiodino,True,107,855,20308,23.75204678362573,569,False,False,False,False,8,False,963.04,1917.0,406.0,353.8578433966574,125215.37333333334,1.0546264311243403,39.84,107.0,13.0,21.62691224685885,467.72333333333336,1.5785272683007616,222938.25,715857.0,62777.0,170846.9432397594,29188678014.369564,1.2732224754430244,True
sebyn13,True,63,1168,1547,1.3244863013698631,189,False,False,False,False,17,False,198.6,625.0,99.0,108.86268108646476,11851.083333333332,2.6025734781408576,6.28,18.0,1.0,4.920365840057017,24.209999999999997,0.8390707794175444,1453232.5416666667,5307968.0,149190.0,1398277.7306640318,1955180612070.9546,1.5496418362296673,True
myvintagemap,True,102,995,1893,1.9025125628140704,255,False,False,True,False,37,False,296.88,401.0,146.0,80.24043037438587,6438.526666666667,-0.6600196887425335,53.92,87.0,27.0,14.605706647289157,213.32666666666668,0.2548829498818044,323246.5,1476676.0,78705.0,376506.28941371874,141756985968.08694,2.4638122578988555,True
_silvii_a,True,103,1601,1309,0.8176139912554653,360,False,False,True,False,19,False,249.28,418.0,101.0,95.0089995737246,9026.710000000001,0.1680180282477944,6.44,23.0,0.0,6.801225379787576,46.25666666666666,1.0423851280411127,553743.1666666666,2775822.0,51941.0,657767.9252724895,432658643517.2754,2.0623506945128556,True
sararachele_,True,95,850,972,1.143529411764706,169,False,False,True,False,8,False,92.52,242.0,36.0,43.064989647430934,1854.5933333333335,1.5583693685366835,1.64,7.0,0.0,1.9765289440498126,3.906666666666667,1.5719508522211132,818197.4583333334,4656267.0,267.0,1096258.4387437424,1201782564516.8677,2.1442191080491,True
carlottavagnoli,True,61,1682,32584,19.37217598097503,650,False,False,False,False,19,False,3111.64,6229.0,609.0,1571.719437431503,2470301.99,0.5053759137671235,27.64,89.0,2.0,27.50739294565493,756.6566666666666,1.1651159747317408,127487.41666666667,428899.0,13895.0,113282.82885650359,12832999313.731882,1.340157089207087,True
isabelagrutman,True,0,556,209303,376.44424460431657,926,False,True,False,False,4,False,6617.64,12323.0,2383.0,2473.7978373343285,6119675.74,0.2688907372960265,100.48,247.0,17.0,62.04643422469981,3849.7599999999998,0.832723126762239,244174.20833333334,773772.0,244.0,198510.8065552492,39406540319.215576,0.8241562818149232,True
gymaesthetic,True,141,114,1277379,11205.078947368422,5187,False,False,True,False,0,False,5913.52,16966.0,1846.0,3638.088407391992,13235687.26,1.2835132162702914,48.96,262.0,5.0,53.47310850636358,2859.3733333333334,2.65218991370283,30632.75,67482.0,12451.0,15314.408507506341,234531107.9347826,0.6305218607880592,True
andrealvino,True,0,1102,302,0.27404718693284935,277,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
alessiodecembrini,True,0,533,329,0.6172607879924953,37,False,False,True,False,0,False,17.0,30.0,5.0,7.852812659593164,61.666666666666664,0.26871929888930934,0.6,8.0,0.0,1.6583123951777,2.75,3.7934559492721633,3734594.1666666665,39365437.0,89.0,8459877.677437283,71569530317201.62,3.5146202329605924,True
__vvanes,True,0,489,171,0.3496932515337423,20,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
efedez,True,46,987,1113,1.127659574468085,203,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
nicopiro11,True,119,1517,3571,2.3539881344759395,383,False,False,True,False,6,False,398.4,773.0,268.0,122.26917027607573,14949.75,1.419586416384028,27.52,59.0,8.0,13.407460609675494,179.76,0.8256518377868062,428939.0,1192244.0,25005.0,300871.8839551075,90523890554.69565,1.1773759138343678,True
cipriani_couture,True,127,2559,182313,71.24384525205159,1899,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
francesco_migliano,True,23,268,243,0.9067164179104478,39,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
flowbox.it,True,80,3,778,259.3333333333333,64,False,False,False,False,0,False,36.4,96.0,13.0,18.334848422244093,336.1666666666667,1.4800707634641959,1.24,8.0,0.0,1.9638397762207247,3.8566666666666665,1.9820904539508128,877598.875,6483458.0,4261.0,1503133.8717310438,2259411436345.1577,2.7994559991688384,True
_theundercovertimetravellers,True,150,1450,1985,1.3689655172413793,95,False,False,True,False,6,False,137.04,510.0,47.0,95.46311678688616,9113.206666666667,2.5987999011945107,5.4,21.0,0.0,5.986094998689324,35.833333333333336,1.3398809720573392,494828.2916666667,2109997.0,557.0,494526.3047861387,244556266125.43295,1.8636504403743221,True
daniela__marchi,True,141,374,350,0.9358288770053476,33,False,False,False,False,0,False,36.92,81.0,8.0,21.54630672141593,464.24333333333334,0.6445844413205895,2.76,14.0,0.0,3.84360941477322,14.773333333333333,1.6653199568065553,4717266.875,30839076.0,335149.0,6936322.2499439875,48112566355068.02,2.665383102607946,True
derya_sahin_25,True,120,2152,3981,1.849907063197026,474,False,False,True,False,24,False,419.6,585.0,239.0,76.49291906226789,5851.166666666667,-0.2663339955638587,71.08,94.0,27.0,15.882170296698538,252.24333333333334,-0.6372761082153637,93552.16666666667,143888.0,85034.0,15880.348508569426,252185468.7536232,2.4567580827771467,True
auroraleone,True,133,354,30605,86.454802259887,167,False,False,False,False,9,False,3470.8,4984.0,1627.0,968.9828859857812,938927.8333333334,-0.0045224837817294285,22.0,61.0,3.0,14.020817855365404,196.58333333333334,1.080974950417084,546397.6666666666,1981108.0,76350.0,450984.50926463836,203387027596.6667,1.5094426913923593,True
_someonelikeu,True,113,1666,10572,6.345738295318127,1079,False,False,True,False,16,False,603.76,1626.0,50.0,302.80800848062125,91692.69,1.3722329251761551,33.16,131.0,5.0,24.388658566363723,594.8066666666666,2.6860240291739528,1108880.4166666667,8644637.0,102850.0,1772925.5628532749,3143265051418.6016,3.4252363233143805,True
glsensem,True,44,36,10474,290.94444444444446,189,False,False,True,False,2,False,412.64,2205.0,79.0,547.8158814784398,300102.24000000005,2.756578709801058,2.96,22.0,0.0,4.685794134046722,21.956666666666667,2.900065232900933,1065594.125,8489078.0,575.0,1945783.9397538085,3786075140203.853,2.718251111987711,True
piccione_felice91,True,96,809,9133,11.289245982694684,179,False,False,True,False,3,False,376.48,718.0,188.0,133.70213162100296,17876.26,0.6990184994471155,6.0,17.0,0.0,4.949747468305833,24.5,0.7911213601140644,680588.9166666666,4521562.0,79384.0,940447.7575680047,884441984714.6885,3.023163005682534,True
ioilaio,True,37,2342,985,0.42058070025619126,252,False,False,False,False,2,False,92.6,160.0,22.0,26.318561257535844,692.6666666666666,-0.23163568217961464,3.92,18.0,0.0,4.261455150532504,18.16,2.0577209467918562,316715.75,1100313.0,86984.0,270962.77454200236,73420825187.5,1.6786744416076262,True
orsinijess,True,0,335,507,1.5134328358208955,271,False,False,False,False,3,False,73.64,116.0,38.0,18.542473765205475,343.8233333333333,-0.22152264021752946,1.96,5.0,0.0,1.7435595774162693,3.04,0.20664964905211228,1326090.9166666667,5707897.0,113533.0,1450721.0556197613,2104591581218.5144,2.070774316619477,True
