username,profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,recently_removed,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
francescopatetta,True,37,404,908,2.2475247524752477,136,False,False,False,False,1,False,59.88,104.0,20.0,21.107502615578817,445.52666666666664,0.2311456897167967,2.44,10.0,0.0,3.1501322723551364,9.923333333333334,1.3148259616186957,2318377.5416666665,13312128.0,67160.0,2940341.3747603167,8645607400127.39,2.387934368603235,True
marti_urru,True,57,152,206,1.355263157894737,13,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
lolaarrivabene,True,145,1844,27773,15.061279826464208,1068,False,False,False,False,0,False,932.76,1772.0,368.0,376.34262757935534,141633.77333333335,0.6955738743569584,19.0,48.0,3.0,13.762872762133153,189.41666666666666,0.7397483330896738,342390.5416666667,1217857.0,17364.0,328673.609115815,108026341329.21558,1.3799491159329318,True
adrianadipasca,True,81,1383,898,0.6493130874909617,431,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
valecotty_1,True,125,483,428,0.8861283643892339,38,False,False,False,False,0,False,28.48,79.0,5.0,19.111776474205634,365.26,0.9692872360958567,1.88,8.0,0.0,2.1664102412362563,4.693333333333333,1.4119692751360489,7197061.541666667,111044454.0,2885.0,22360691.41197924,500000520421762.1,4.432260004536264,True
alfonso_photographer,True,149,752,904,1.202127659574468,588,False,False,True,False,2,False,69.36,108.0,32.0,20.426453436659042,417.24,0.2482722538312252,0.92,7.0,0.0,1.6051998837112675,2.5766666666666667,2.414707239016285,662532.9583333334,4845641.0,49444.0,1058164.7837445193,1119712709557.0852,2.9455705000955734,True
matteobusdraghi,True,0,119,189,1.588235294117647,13,False,False,False,False,1,False,31.076923076923077,51.0,18.0,9.250779592927456,85.57692307692308,0.5901088248378895,1.3076923076923077,4.0,0.0,1.1821319289469756,1.3974358974358976,0.9525491857309066,2639420.1666666665,21414950.0,40705.0,6113820.382997953,37378799675561.24,2.710433248912753,True
rosanza_,True,81,1608,1374,0.8544776119402985,658,False,False,False,False,1,False,36.56,48.0,25.0,6.442566776267567,41.50666666666667,0.22583086341461073,0.52,3.0,0.0,0.9183318209303941,0.8433333333333334,1.422749231450242,658637.0833333334,8915333.0,3589.0,1805659.6344673051,3260406715544.602,4.229832966309866,True
sofiaschwarzkopftilbury,True,98,2150,167589,77.94837209302325,551,False,True,True,False,24,False,6920.16,26463.0,2344.0,5998.749068764254,35984990.39,2.047596277394247,183.0,1961.0,32.0,378.45001871669484,143224.41666666666,4.391733964947224,207548.0,697046.0,3615.0,166042.01894596493,27569952055.652172,1.0523241755403188,True
flafl196,True,29,341,262,0.7683284457478006,25,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
noemicorbb,True,23,570,1059,1.8578947368421053,67,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
healthylovergram,True,111,587,4845,8.253833049403747,204,False,False,True,False,9,False,277.36,658.0,91.0,114.22123270215569,13046.49,1.3364116316024988,6.68,33.0,1.0,6.9144775652250114,47.81,2.3497793176271156,717662.2916666666,2762160.0,51118.0,673541.6337410505,453658332382.5634,1.4912491538266317,True
gallivantingtogether,True,142,3159,3247,1.0278569167458056,56,False,False,True,False,3,False,309.76,482.0,178.0,86.9512698776351,7560.5233333333335,0.3645076520372439,9.76,36.0,0.0,7.355723395198236,54.10666666666667,1.7629610757246295,781053.4583333334,5273994.0,61842.0,1343497.1738854754,1804984656238.259,2.4980838437663553,True
niicco_rossi,True,35,221,866,3.918552036199095,65,False,False,False,False,0,False,67.52,106.0,25.0,24.375739305027587,594.1766666666667,-0.2740156550411354,0.36,3.0,0.0,0.7000000000000001,0.49000000000000005,2.3721249063978975,2846659.8333333335,11079047.0,498220.0,2710721.3738918547,7348010366874.145,1.5382271138410426,True
billboarditalia,True,51,543,35652,65.65745856353591,2650,False,True,True,False,60,False,213.32,1122.0,41.0,218.58993572440613,47781.560000000005,3.0611060244741317,1.36,21.0,0.0,4.162130864513192,17.323333333333334,4.44994268422057,32025.333333333332,93624.0,1716.0,29656.916663250995,879532705.9710146,0.5741897226207692,True
earthfocus,True,125,88,4499410,51129.65909090909,7368,False,False,True,False,8,False,66559.88,172490.0,6869.0,35677.94200473639,1272915545.6933334,1.1391670810547136,581.76,3162.0,87.0,623.5358369813238,388796.93999999994,3.0572300053843837,22528.916666666668,38884.0,14852.0,6549.998280229888,42902477.47101449,0.6042207325497622,True
peppe_ponte,True,0,571,612,1.0718038528896672,14,False,False,True,False,3,False,68.23076923076923,111.0,40.0,23.98664158149228,575.3589743589744,0.5649465581386702,1.7692307692307692,7.0,0.0,2.1661735138967266,4.6923076923076925,1.1788155595427232,6141716.5,18879915.0,48872.0,6283382.621196275,39480897164351.37,0.6955005606064122,True
maria_chiaradoveri,True,16,1199,1014,0.8457047539616347,167,False,False,False,False,1,False,157.92,219.0,87.0,39.07356310004673,1526.7433333333333,-0.17516956161980174,1.84,8.0,0.0,2.6248809496813377,6.890000000000001,1.2497044403950581,3476568.5416666665,25667359.0,85396.0,5478572.504513887,30014756687215.56,2.986594292599969,True
fabio_jhanfly_tattooartist,True,137,2936,10815,3.68358310626703,170,False,False,False,False,9,False,772.96,1924.0,54.0,452.90685944610436,205124.62333333332,0.6927352117877028,13.68,32.0,0.0,9.14111590562115,83.56,0.07805781576820153,370551.0416666667,787021.0,30756.0,187551.38656668243,35175522603.085144,0.2492355323049462,True
salvatoreb93,True,27,858,438,0.5104895104895105,242,False,False,True,False,5,False,50.24,119.0,21.0,20.396650051744608,416.02333333333326,1.5927211740179028,2.12,10.0,0.0,2.603203155089258,6.776666666666667,1.3268212884402295,2696104.5,8811994.0,144517.0,2706907.602502868,7327348768487.826,1.1755766828114032,True
kristenanniebell,True,36,328,12755600,38889.0243902439,921,False,True,True,False,9,False,221800.76,789950.0,19995.0,175156.4506934396,30679782219.523335,1.4977155251802254,2278.28,11615.0,155.0,2678.8659061874173,7176322.543333333,2.075022239584181,110176.45833333333,358627.0,413.0,112332.56950563056,12618606171.73732,0.9354752461152901,True
