profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,classification
False,False,6755,28,0.004144,0,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,6475,180,0.027795,18,False,False,False,False,0,26,48,12,9.845871,96.941176,0.478666,0.611111,3,0,0.916444,0.839869,1.314556,69863.058824,432607,10,133040.547069,17699787164.308826,1.799051,False
True,False,134,98,0.725926,52,False,False,False,False,7,21.68,52,12,11.527937,132.893333,1.422872,1.4,10,0,2.43242,5.916667,2.357981,522002.208333,3104610,89,949665.331177,901864241240.0851,1.634651,False
True,False,6875,79,0.011489,5,False,False,False,False,0,9,12,5,2.738613,7.5,-0.408248,0.8,3,0,1.30384,1.7,1.150049,455255.75,703165,113,316059.349677,99893512518.25,-0.900209,False
True,False,6943,82,0.011809,7,False,False,False,False,0,6.571429,17,3,5.223573,27.285714,1.300989,0.285714,1,0,0.48795,0.238095,0.948683,27657.833333,165636,25,67595.232638,4569115475.366666,1.788853,False
True,True,94,54,0.568421,16,False,False,True,False,0,8.75,17,3,3.991658,15.933333,0.57323,0.125,1,0,0.341565,0.116667,2.267787,2600650.266667,9075710,504,2739223.863461,7503347374152.924,1.150432,False
True,True,7184,105,0.014614,31,False,False,False,False,0,17.76,43,2,9.175511,84.19,0.607932,1,4,0,1.322876,1.75,0.99195,565729.833333,5976412,21,1638501.982169,2684688745571.9717,2.917559,False
True,True,594,614,1.031933,228,False,False,True,False,2,36,55,28,6.144103,37.75,1.016485,2.24,11,0,3.058867,9.356667,1.649237,503969.541667,1861903,1769,498413.75972,248416275877.82425,1.412403,False
True,False,1012,226,0.2231,20,False,False,False,False,0,6.85,16,2,3.513508,12.344737,0.89715,0,0,0,0,0,0,980531.157895,8022688,8,2021676.554869,4087176092508.696,2.513199,False
True,True,1256,911,0.724741,79,False,False,False,False,0,120,212,50,41.091362,1688.5,0.38859,3.16,12,0,3.197395,10.223333,1.358366,527451.916667,4311328,23,1089859.221431,1187793122538.1667,2.241239,False
True,False,19,33,1.65,5,False,False,False,False,0,2.4,4,1,1.140175,1.3,0.271545,0.4,1,0,0.547723,0.3,0.408248,2085353.75,6795567,539,3201883.893284,10252060466068.916,1.030141,False
False,False,6276,0,0,0,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
False,False,6723,59,0.008775,0,False,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
False,False,3886,36,0.009262,0,False,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,196,76,0.385787,10,False,False,False,False,0,20.1,34,11,7.709302,59.433333,0.511369,1.2,5,0,1.686548,2.844444,1.283203,3104642.444444,10711361,56,4125244.021458,17017638236577.03,1.028971,False
True,True,664,339,0.509774,30,False,False,True,False,2,51.08,80,33,12.658726,160.243333,0.525599,6.48,28,1,5.370599,28.843333,2.646003,1666658.5,20381214,88847,4090484.556702,16732063908616.87,4.235956,False
True,True,385,188,0.487047,47,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,True
True,False,6528,83,0.012713,8,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,True,7468,4983,0.667158,13,False,False,False,False,2,110.615385,177,86,26.465507,700.423077,1.404384,3,13,0,3.391165,11.5,2.015029,5077747.25,20776678,4714,6936499.74931,48115028772171.66,1.318044,False
