profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
True,True,1128,2195,1.9459219858156032,649,False,False,True,False,8,,,,,,,,,,,,,,,,,,,True
True,False,672,614,0.9136904761904762,857,False,False,False,False,0,37.08,79.0,15.0,13.955046876787385,194.7433333333333,1.059562520911682,1.36,5.0,0.0,1.7530925056406277,3.0733333333333333,0.9011587297741388,488663.41666666674,3380756.0,796.0,755040.6954029707,570086451714.6016,2.7948359295216316,True
True,True,13,26841,2064.692307692308,273,False,False,False,False,2,2738.4,4371.0,1374.0,740.2749489210072,548007.0,0.36080082498121097,14.48,38.0,1.0,10.847887659201982,117.67666666666666,0.7219101062353991,86434.375,94450.0,74555.0,3701.46707474682,13700858.505434785,-1.0785253770918697,True
True,False,656,281,0.42835365853658536,55,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,998,47364,47.458917835671336,833,False,False,True,False,6,3688.48,5878.0,2137.0,1025.2974820346858,1051234.926666667,0.43473938198529205,64.0,237.0,10.0,54.04627646748664,2921.0,1.6155915248847958,236014.54166666663,682361.0,9027.0,143558.40695991216,20609016208.86776,1.2243703175600804,True
True,True,522,731,1.4003831417624522,74,False,False,True,False,6,166.96,253.0,42.0,51.96190912582025,2700.04,-0.3662399777683584,3.28,15.0,0.0,3.7696153649941535,14.21,1.887859997815984,2667164.0,13753192.0,264688.0,3110201.7863643933,9673355151904.262,2.3371357636217884,True
True,True,564,2301318,4080.351063829787,721,False,True,True,False,15,73039.92,370359.0,15141.0,74524.50263443563,5553901492.910001,2.6212921092457724,945.52,3011.0,45.0,950.4498110543941,903354.8433333334,0.9927836917053168,560816.7916666665,1781924.0,16388.0,526214.8785013325,276902098356.1721,1.3315371592677836,True
True,True,2285,196194,85.8617067833698,763,False,True,False,False,57,11233.24,50535.0,1652.0,12673.526884415403,160618283.69000003,2.0185983249153048,160.12,500.0,14.0,148.45097956340112,22037.69333333333,1.0233715804761052,727313.2916666665,2420886.0,70364.0,617871.4545149254,381765134304.3895,1.4727654049949146,True
True,False,1307,1248,0.954858454475899,377,False,False,True,False,13,82.68,141.0,39.0,26.601566369921397,707.6433333333333,0.3584637789256397,2.0,6.0,0.0,2.0615528128088303,4.25,0.8154156236278494,568177.125,2650412.0,4653.0,714074.0302928231,509901720738.6359,1.7529253107140168,True
True,True,213,2670,12.535211267605634,184,False,False,True,False,13,171.72,548.0,59.0,92.9684175764365,8643.126666666665,2.6866642540147074,2.04,9.0,1.0,2.207562758639793,4.873333333333333,2.2253276880770643,196569.75,444349.0,184.0,121300.86907507945,14713900838.369566,0.5778127112917536,True
